SS,SLR,Community,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
000,150,Bath,Beaufort County,NC,PV3,4817254,0.1455,1933467,0.0584,9468639,0.2859
000,150,Bath,Beaufort County,NC,PV2,6863591,0.2314,2722949,0.0918,12697619,0.4280
000,150,Bayview,Beaufort County,NC,PV1,32173931,0.4782,12693447,0.1887,48871342,0.7264
000,150,Bayview,Beaufort County,NC,PV3,13349429,0.4584,4943828,0.1698,20535629,0.7051
000,150,Bayview,Beaufort County,NC,PV2,18825440,0.4924,7749619,0.2027,28340846,0.7412
000,150,Belhaven,Beaufort County,NC,PV1,98624694,0.9409,9497379,0.0906,104689820,0.9988
000,150,Belhaven,Beaufort County,NC,PV3,59433461,0.9323,4127516,0.0647,63659841,0.9986
000,150,Belhaven,Beaufort County,NC,PV2,39280184,0.9544,5382566,0.1308,41119722,0.9991
000,150,Chocowinity,Beaufort County,NC,PV1,0,0.0000,0,0.0000,796514,0.0138
000,150,Chocowinity,Beaufort County,NC,PV3,0,0.0000,0,0.0000,616530,0.0151
000,150,Chocowinity,Beaufort County,NC,PV2,0,0.0000,0,0.0000,179984,0.0100
000,150,Cypress Landing,Beaufort County,NC,PV1,5053096,0.0221,2416128,0.0106,12309263,0.0539
000,150,Cypress Landing,Beaufort County,NC,PV3,3517952,0.0208,1606548,0.0095,8960047,0.0529
000,150,Cypress Landing,Beaufort County,NC,PV2,1535144,0.0260,809580,0.0137,3349216,0.0567
000,150,Pantego,Beaufort County,NC,PV1,1480603,0.1628,770690,0.0847,6106599,0.6713
000,150,Pantego,Beaufort County,NC,PV3,966713,0.1457,432382,0.0652,4377117,0.6596
000,150,Pantego,Beaufort County,NC,PV2,521989,0.2109,345600,0.1396,1741691,0.7037
000,150,Pinetown,Beaufort County,NC,PV1,0,0.0000,0,0.0000,416996,0.0714
000,150,Pinetown,Beaufort County,NC,PV3,0,0.0000,0,0.0000,164705,0.0549
000,150,Pinetown,Beaufort County,NC,PV2,0,0.0000,0,0.0000,252291,0.0886
000,150,River Road,Beaufort County,NC,PV1,134129139,0.4118,25709599,0.0789,208445808,0.6400
000,150,River Road,Beaufort County,NC,PV3,59444463,0.3308,10267395,0.0571,101979680,0.5675
000,150,River Road,Beaufort County,NC,PV2,74740581,0.5102,15465347,0.1056,106598617,0.7276
000,150,Unincorporated Beaufort,Beaufort County,NC,PV1,708596392,0.2399,192918699,0.0653,1513308802,0.5124
000,150,Unincorporated Beaufort,Beaufort County,NC,PV3,283723083,0.2090,71857040,0.0529,584765817,0.4307
000,150,Unincorporated Beaufort,Beaufort County,NC,PV2,425600224,0.2655,121226030,0.0756,930996688,0.5807
000,150,Washington,Beaufort County,NC,PV1,46845517,0.0546,10678197,0.0124,288476937,0.3362
