ER,SLR,Community,County,State,DBcode,ELA_value,ELA_pct,ELNA_value,ELNA_pct,ENLA_value,ENLA_pct,ENLNA_value,ENLNA_pct
000,050,Oak Island,Brunswick County,NC,RE20,126,0.0128,175,0.0176,143,0.0145,220,0.0222
000,050,Oak Island,Brunswick County,NC,RE21,5,0.0012,10,0.0024,6,0.0014,12,0.0029
000,050,Oak Island,Brunswick County,NC,RE22,121,0.0214,164,0.0290,138,0.0243,208,0.0366
000,050,Ocean Isle Beach,Brunswick County,NC,RE1,9,0.0105,15,0.0174,12,0.0133,18,0.0210
000,050,Ocean Isle Beach,Brunswick County,NC,RE2,0,0.0128,0,0.0221,0,0.0268,1,0.0370
000,050,Ocean Isle Beach,Brunswick County,NC,RE3,9,0.0106,15,0.0176,11,0.0135,18,0.0213
000,050,Ocean Isle Beach,Brunswick County,NC,RE4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Ocean Isle Beach,Brunswick County,NC,RE5,0,0.0072,0,0.0177,0,0.0083,0,0.0195
000,050,Ocean Isle Beach,Brunswick County,NC,RE6,0,0.0000,0,0.0117,0,0.0001,0,0.0128
000,050,Ocean Isle Beach,Brunswick County,NC,RE7,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Ocean Isle Beach,Brunswick County,NC,RE8,0,0.0137,0,0.0237,0,0.0287,1,0.0397
000,050,Ocean Isle Beach,Brunswick County,NC,RE20,48,0.0159,91,0.0300,58,0.0191,106,0.0347
000,050,Ocean Isle Beach,Brunswick County,NC,RE21,4,0.0078,8,0.0177,4,0.0099,10,0.0212
000,050,Ocean Isle Beach,Brunswick County,NC,RE22,45,0.0173,83,0.0321,54,0.0207,96,0.0370
000,050,Sunset Beach,Brunswick County,NC,RE1,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Sunset Beach,Brunswick County,NC,RE2,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Sunset Beach,Brunswick County,NC,RE3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Sunset Beach,Brunswick County,NC,RE4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Sunset Beach,Brunswick County,NC,RE5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Sunset Beach,Brunswick County,NC,RE6,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Sunset Beach,Brunswick County,NC,RE7,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Sunset Beach,Brunswick County,NC,RE8,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Sunset Beach,Brunswick County,NC,RE20,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Sunset Beach,Brunswick County,NC,RE21,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Sunset Beach,Brunswick County,NC,RE22,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Unincorporated Brunswick,Brunswick County,NC,RE1,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Unincorporated Brunswick,Brunswick County,NC,RE2,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Unincorporated Brunswick,Brunswick County,NC,RE3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Unincorporated Brunswick,Brunswick County,NC,RE4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Unincorporated Brunswick,Brunswick County,NC,RE5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Unincorporated Brunswick,Brunswick County,NC,RE6,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Unincorporated Brunswick,Brunswick County,NC,RE7,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Unincorporated Brunswick,Brunswick County,NC,RE8,0,0.0000,0,0.0000,0,0.0000,0,0.0000
